a / đọc là a
Abdel / A-đờ
Abdullah / A-du-la
Abramovich / A-bờ-ra-mô-vích
accumulateur / Ắc quy
accus / ắc qui
Acer / Ây-sơ
acide / a xít
Adebayor / A-đờ-bay-o
Adriano / A-ri-an-nô
aerobic / e-rô-pic
affaire / Áp phê
affiche / áp phích
Afghanistan / Áp-pa-nít-tan
Aguero / A-que-rô
Air / E
Airlines / E-lai
Ajax / Ai-rắc
Alaska / a-lát-ca
Albert / an-bét
Alberto / An-béc-tô
Albiol / A-bi-on
Album / An-bum
alerte / A-lẹt
Alexander / A-lếc-xan-đơ
Alexandria / A-lếc-san-dờ-rai-a
Ali / A-li
Alice / ơ-lai
Alie / ơ-lai
Alissa / ơ-lít-sa
Allan / An-lan
Allen / A-len
Allo / alô
Alonso / A-lôn-sô
aluminium / Nhôm
amateur / amatơ
Amber / am-bơ
Amelia / ơ-mê-li-a
American / A-me-ri-can
amiante / amiăng
Amidan / A-mi-dan
amin / a-min
Amman / am-men
Amoniac / A-mô-ni-ac
Amor / A-mo
ampère / ampe
Amsterdam / Am-téc-dam
Amy / ơ-mai
amygdale / amiđan
Ana / An-na
Ancelotti / A-xê-lốt-ti
Anderson / an-đơ-sơn
Andrea / An-đờ-ria
Andrena / an-đờ-rê-na
Andrew / An-đờ-riu
Android / An-dờ-roi
Andy / En-đi
Anelka / A-nen-ca
Angela / an-giê-la
Angelababy / Ăng-re-la-bây-bi
Angeles / Ằng-gơ-lét
Angelina / Ăng-ge-li-a
anglais / ăng lê
Anna / An-na
Annie / an-ni
antenne / ăng ten
Anthony / en-thôn-ni
Antonio / An-ton-ni-ô
Apache / a-pac-che
apartheid / a-pác-thai
Apes / A-pe
Apple / Áp-bồ
Aptech / Ap-tếch
Arabia / A-ra-bi-a
Aragon / A-ra-gon
Arak / ơ-rắc
Arbeloa / A-be-loa
Argentina / Ác-hen-ti-na
Arsenal / A-sơ-nan
Arshavin / A-sa-vin
artichaut / a ti sô
Article / Ác-ti-cờ
Artista / Ác-ti-na
as / át
Asean / A-si-an
Ashley / Ét-ly
Asia / Ây-siền
Asian / A-si-an
aspirin / ắc-pi-rin
Aston / Át-tôn
At / Ất
Atalanta / At-ta-lan-ta
Athletic / A-len-tic
Atlanta / A-lát-ca
Atlas / Át-lát
Atletico / A-len-ti-cô
au plat / Ốp la
audio / au-di-ô
Audrey / ơ-đờ-rây
Australia / Ô-xờ-trây-li-a
autobus / Ô-tô-buýt
automobile / ôtô
Ayrton / A-ton
Ayun / An
bac / Bắc
baggage / ba ga
baht / Bạt
balcon / ban công
Bali / BA-li
Ballack / Ba-lách
ballet / ba lê
banc / Băng
bande / băng
Bangkok / Băng-cốc
Bangladesh / Băng-la-đét
Bank / Banh
Barca / Bát-xa
Barcelona / Bát-sê-đô-na
Baresi / Ba-rên
Bari / Ba-ri
Barry / Be-ry
Barton / Bát-ton
basalte / bazan
basse / bazơ
Baxter / bát-xi-tơ
Bayer / Bay-ơ
Bayern / Bay-ơ
Beckham / Béc-khăm
Bella / ben-la
Bellamy / Be-la-mi
Ben / ben
Bendtner / Ben-nơ
Benfica / Ben-phi-ca
Benghazi / ben-ha-gi
Benito / Ben-ni-to
Benjamin / ben-gia-min
Bent / Ben
Benzema / Ben-ra-ma
Berbatov / Béc-ba-tốp
berger / Bẹc giê
Berlin / Béc-lin
Bernard / Be-nơ
beta / bê-ta
beurre / bơ
Bian / bai-an
bidon / bi đông
bifsteck / Bíp tách
Big / Bíc
Bilbao / Bin-bao
Bill / Biu
billard / bi da
bille / bi
billiards / bi-li-at
Billionaire / Bi-liền-ne
Billy / bin-li
biogas / Bi-ô-ga
Birmingham / Bôt-minh-ham
biscuit / bánh quy
bit / Bít
bière / bia
BlackBerry / Bờ-lách-be-ry
Blackburn / Bờ-lách-bun
blockhaus / lô cốt
blog / bờ-lốc
blossom / bờ-lót-zừm
blouson / bu giông (áo)
Bluetooth / Bờ-lu-tút
Boateng / Bo-teng
Bob / Bóp
Boeing / Bô-ing
Bold / Bôn
Boleyn / Bô-lơ
Bolton / Bôn-tơn
bombe / bom
boom / bom
boong / bong
Bordeaux / Bóc-đô
Bosque / Bốt-quê
Boston / Bốt-tơn
bougie / bu gi
boulon / bù loong
Boy / Bồi
Brad / Bờ-ran
Bradley / bờ-rết-li
Brazil / Bờ-ra-xin
break / bờ-rếch
Brian / bờ-rai-ừn
Bridge / Bờ-rích
brillantine / Bi- dăng-tin
Britney / bờ-rít-ni
Brown / Bờ-râu
Bruccoleri / Bờ-ru-cô-le-ri
Bruce / bờ-rúc-xơ
Brunei / Bờ-ru-nây
Bruno / Bru-no
Buddenberg / Bu-den-bét
buffet / Búp-phê
bugie / Bugi
Bulgaria / Bun-ga-ri
Bull / Bun
Bungari / Bun-ga-ri
bunker / boongke
bus / Buýt
Bush / Bút
Button / Bút-tôn
Bye / Bay
bâton / Ba-toong
béton / bê tông
cabin / ca-bin
cabine / cabin
Cacao / ca-cao
Cacbon / Các-bon
cafe / cà phê
Café / Ca-phê
Cahill / Ca-hiu
Cairo / Cai-rô
Caitlin / Cai-tờ-lin
Cali / ca-li
California / Ca-li-pho-ni-a
Calisto / Ca-lít-tô
Caltex / Ca-tờ
Camael / Ca-ma-eo
Cambiasso / Cam-bít-sô
Cambridge / Cam-bờ-rít
camera / Ca-me-ra
Cameron / Ca-me-ron
Cameroon / Cam-me-run
Cami / cêm-mi
camion / Cam-nhông
camionette / Cam-nhông-nết
Campbell / Cam-beo
Campuchia / Cam-pu-chia
Camryn / cêm-rin
Canada / ca-na-da
Cannes / Can
canot / Ca-nô
Canterbury / ken-tơ-bơ-ri
cantine / căng tin
canxi / can-xi
caoutchouc / cao su
Capital / Cép-pi-tờ
capot / ca bô
carbon / Các-bon
card / Các
Cardiff / Ca-dít
cari / cà ri
Carl / Cát
Carlo / Các-lốt
Carlos / Cát-lốt
Carnarvon / Ca-na-vôn
Carnaval / Các-na-van
Caroline / Ca-ro-lai
carotte / cà rốt
carreau / ca rô
Carrick / Ca-rích
Carroll / Ce-rôn
carrot / cà rốt
Carry / Ce-ri
carte / cạc
carte de visite / cạc vi zít
carte verte / cạc vẹc
carton / các tông
case / ca
Cash / cát
Casillas / Ca-si-lát
Casino / Ca-sin-nô
Cassan / cây-san
cassette / cát xét
cassé / cátxê
catalogue / ca ta lô
Catania / Ca-ta-ni-a
Catherine / Ca-thơ-lin
cavalière / Cave
Cedric / xi-đờ-rích
ceinture / Xanh tua
center / xen-tờ
centimet / Xen-ti-met
centimeter / xen-ti-mét
Century / Xen-tu-ry
cercle club / Xẹc
cerise / quả xê ri
Cesc / Séc
Challenger / Cha-len-giơ
champagne / sâm banh
Champions / Chem-piền
Championship / Chem-piền-síp
charette / Xa-rết
charge / Sạc
Charles / cha-lét
Charlie / Sắc-li
Charlotte / cha-lốt-tờ
Charlton / Cha-tôn
chauffeur / Sớp-phơ
chef / sếp
Chelsea / Chen-si
chemise / sơ mi (áo)
chewing-gum / sing gum
Chievo / Chi-a-vô
Chile / Chi-lê
Chinese / Chai-nít
chip / chíp
chocolat / Sô-cô-la
chocolate / chô-cô-lết
cholesterol / cô-lét-tơ-rôn
chou-fleur / xúp lơ
Chris / Chít
Christchurch / cờ-rít-trắc-chờ
Christina / cờ-rít-ti-na
Christine / cờ-rít-tin-nơ
chèque / séc
Cienco / cen-cô
cigare / Xì gà
ciment / xi măng
ciné / xi nê
cinéma / Ci-nê
cire / Xi
cirque / xiếc
citerne / xi téc
City / xi-ti
Claire / cờ-lai-rờ
Claude / Cơ-lau
Cliff / cờ-li-phơ
Clifford / cờ-lai-pho
Clinton / Cờ-lin-tơn
Clip / Cờ-lip
Club / Cờ-lắp
coastal / cốt-tờ
cobalte / cô ban
Coca / Cô-ca
Cody / cơ-đi
coeur / chất cơ
coffre / cốp xe
Cola / cô-la
Coleman / Cô-lê-man
Collins / cô-lin-xơ
Colombia / Cô-lôm-pi-a
colt / Côn
Columbia / Cô-lum-bi-a
Cometto / Cô-mê-tô
commande / Cò-măng
commissiarre / Ông cò
commission / Cồm-mít-xông
Comolli / Cô-mô-li
compas / compa
complet / Com lê
comprises / com-pờ-rai
compteur / công tơ
Congo / Công-gô
Connery / Con-nơ-ri
Conrad / côn-rát
contact / Công tắc
Container / Con-te-nơ
conteneur / côngtenơ
continental / con-ti-nem-tờ
Convention / Con-ven-tion
coolie / cu li
Cooling / câu-linh
Coopmart / Cóp-mắc
Copa / Cốp-pa
copier / Cóp
corne / Cọt-ne
corset / Coóc-sê
cotton / cốt-tông
Coulthard / Cun-tha
coupe / Cúp
coureur / cuarơ
course / Cuốc
cowboy / Cao bồi
cravate / ca vát
Crevasse / Cờ-re-va-se
Crouch / Cờ-rao
Cruz / Cờ-ru
Crystal / cờ-rít-tồ
crème / cà rem
Cuba / Cu-ba
cuiller / cùi dìa
Cup / Cúp
cut / cắt
cyclo / xích lô
Cydia / Ci-di-a
cylindre / xi lanh
cymbidium / cim-bi-dừm
Czech / Séc
Dahl / Đa
Daisy / đai-xi
Dalglish / Đa-linh
dame / đầm
Damien / Đa-mi-en
dancer / Đăng-xê
Dani / Dan-ni
Daniel / đen-ni-ơ
Danny / Dan-ny
Dariam / Da-ri-am
Daring / đe-rinh
Darren / Đa-ren
Darrent / Đa-ren
Darron / Da-rôn
Dave / đết-vơ
David / Đa-vít
Dawson / Đao-sơn
Del / Đen
Delhi / Đê-hi
Dell / Đeo
demande / Ðờ-măn
Dempsey / Đem-si
Denilson / Đen-nin-sơn
Dennis / đen-nít-xơ
Denpasar / Den-pa-sa
dentelle / Ðăng-ten
Deportivo / Đờ-póc-ti-vô
deuxième classe / Ðơ-dèm-cùi-bắp
Diaby / Di-a-bi
Diamond / Đai-mừn
Diana / dai-ơ-na
Diego / Di-a-gô
Dielac / Đi-ê-lắc
diesel / Đi-ê-gien
Dig / Díc
Dimitar / Di-mi-ta
Diouf / Đi-úp
dioxin / di-ô-xin
diplôme / Ðít-lôm
DirectX / Đai-rếch-X
Dirk / dic
discours / Ðít-cua
District / dít-trích
divan / đi văng
docteur / đóc tơ
dollar / đô la
Dolly / đôn-li
Dominich / đô-mơ-ních
domino / đôminô
Don Quichotte / Ðông-ki-sốt
Donald / đô-nan
Donetsk / Dốt-nhét
doping / Đô-ping
Doris / Đô-rit
Dorothy / đơ-rơ-thi
Dos / Dốt
Dossier / đó-xiê
double / đúp bờ
Dream / Đờ-rim
Drobga / Đờ-rốc-ba
Drogba / đờ-róc-ba
Duff / Đắc
Dulac / Điu-lắc
Dumex / Điu-mếc
décal / đề-can
démarreur / Đề
départ / đề ba
E-Mail / i-mêu
Earth / Ớt
East / Ớt
Eastbourne / Ớt-bô-ne
Eboue / Ê-bâu-ê
Ecuador / Ê-cu-a-đo
Eden / E-den
Edgar / E-ga
Eduardo / E-đu-a-dô
Edward / ết-guốc
effet / Phê
Electric / E-lêc-tríc
Electronics / Ê-lếch-trô-níc
Elena / ê-lê-na
Elizabeth / ê-li-da-bét
Ella / en-la
Ellis / E-lip
Email / i-mêu
Embrayage / Em-bra-da
Emerson / E-me-sơn
Emily / ê-mơ-li
Emirates / Em-mi-rết
Emma / em-ma
enquête / ăng kết
equipe / ê kíp
Erik / E-ric
Eriksson / E-ríc-sơn
Esmaili / ét-mai-li
Espanyol / Ét-pa-nhon
Essawi / E-sa-vi
essence / Xăng
Essien / Eng-ten
Ethiopia / Ê-thi-ô-pi-a
euro / Ê-rô
Europa / Ê-rô-pa
Eurowindow / Ê-rô-win-đầu
Eva / ê-va
Evans / E-van
Event / I-vần
Everton / E-ven-tơn
Explorer / Íc-pờ-lo-ơ
Fabregas / Pha-bê-gát
Facebook / Phây-búc
fait / phê thuốc
Fallot / Pa-rốt
Fan / Phan
Farzad / pha-dát
fastfood / Phát-phút
Federer / Phe-đơ-giơ
Fellaini / Phe-la-ni
Ferdinad / Phét-di-năng
Ferdinand / Phét-di-năng
fermeture / phéc-mơ-tuya
Fernando / Phét-nan-đô
Ferrari / Phe-ra-ni
festival / phét-ti-van
feutre / Phớt
fiche / phích
Figo / Phi-gô
Filbert / phin-bớt
film / phim
filtre / phin
Fiorentina / Pi-ô-ren-ti-na
Fittipaldi / phi-tip-pa-di
Flanagan / Phờ-la-na-gan
Flash / Phờ-lác
Fletcher / Phờ-lét-chơ
Flower / Phờ-lao-ờ
Fonda / Phôn-đa
font / phông
fourchette / phóc sết
Fox / Phốc
Francis / Phờ-ran-xi
Franco / Phờ-ran-cô
Fred / phờ-rét
Frederick / phờ-ri-đơ-rích
frein / Phanh
fromage / phô mát
Fukushima / phu-cu-si-ma
Fulham / Phun-ham
Future / Phiu-trờ
Gadhafi / gat-ha-phai
Gala / Ga-la
Galant / ga lăng
Galatasaray / ga-ta-la-sa-ray
galeux / ghẻ lở
Gallas / Ga-lác
gamelle / Ga men
Games / gêm
gangster / găng-xtơ, găng-tơ
gant / găng tay
garage / ga-ra
Garay / Ga-ray
garde / Gác
garde boue / Gác đờ bu
garde corp / Gạc- đờ-co
garde manger / Gác đờ măng dê
gardien / Gác dan
gare / nhà ga
Gartner / Gát-nơ
Garuda / Ga-ru-da
gas / ga
Gate / Gết
gateau / ga tô
Gates / gết
gaule / Gôn
gaz / ga
gene / gien
Genoa / Gen-noa
Geogre / gi-ô-gờ-ri
George / Gioóc-giơ
Geovanni / Giơ-van-ni
Gerard / Ge-ra
Gerhard / Gơ-hát
Getafe / Gê-ta-phê
Ghana / Ga-na        
ghita / ghi-ta
Gibson / Gip-sơn
Gijon / Gi-rông
Gilani / Gi-lan-ni
gilet / gi-lê
Giovanni / Giơ-van-ni
Given / Gi-vần
Glass / Gờ-lác
glutamic / gờ-lu-ta-min
gmail / gờ-meo
Goerges / Gieo-giơ
Gold / Gôn
Golf / Gôn
gomme / gôm
Gon / gôn
Gonzalo / Gôn-ra-lô
Goodison / Gút-đi-sừn
Gordon / Gôn-đờ
Gorilla / Gô-ri-la
Gorki / Góc-ki
goût / Gu
Grace / gờ-rây-xơ
Graham / Gờ-ra-ham
gram / gam
Grand / Gờ-ran
Group / Gờ-rúp
Guardado / Qua-đa-đô
Guardiola / Quắc-di-ô-la
Gudjonsson / Gút-giôn-sơn
Guido / Gui-do
